platform,date,mentions
instagram,2020-05-18,1
instagram,2020-05-21,1
instagram,2020-05-22,2
instagram,2020-05-23,2
instagram,2020-05-25,2
instagram,2020-05-26,1
instagram,2020-05-30,2
instagram,2020-06-01,1
instagram,2020-06-05,2
instagram,2020-06-07,2
instagram,2020-06-09,1
instagram,2020-06-10,1
instagram,2020-06-11,1
instagram,2020-06-12,4
instagram,2020-06-14,2
instagram,2020-06-15,2
instagram,2020-06-17,1
instagram,2020-06-18,1
instagram,2020-06-20,1
instagram,2020-06-21,2
instagram,2020-06-23,2
instagram,2020-06-24,2
instagram,2020-06-26,1
instagram,2020-06-27,1
instagram,2020-06-28,2
instagram,2020-06-29,1
instagram,2020-07-01,2
instagram,2020-07-03,3
instagram,2020-07-05,3
instagram,2020-07-07,1
instagram,2020-07-08,1
instagram,2020-07-09,1
instagram,2020-07-18,1
instagram,2020-07-20,1
instagram,2020-07-22,2
instagram,2020-07-23,3
instagram,2020-07-26,1
instagram,2020-07-27,1
instagram,2020-07-28,1
instagram,2020-07-29,2
instagram,2020-07-30,1
instagram,2020-07-31,1
instagram,2020-08-01,1
instagram,2020-08-02,1
instagram,2020-08-03,4
instagram,2020-08-04,2
instagram,2020-08-05,1
instagram,2020-08-06,1
instagram,2020-08-07,4
instagram,2020-08-08,1
instagram,2020-08-11,2
instagram,2020-08-12,4
instagram,2020-08-13,1
instagram,2020-08-14,1
instagram,2020-08-15,1
instagram,2020-08-16,2
instagram,2020-08-18,3
instagram,2020-08-21,3
instagram,2020-08-22,1
instagram,2020-08-23,1
instagram,2020-08-24,1
instagram,2020-08-25,1
instagram,2020-08-29,1
instagram,2020-08-30,2
instagram,2020-09-01,1
instagram,2020-09-02,1
instagram,2020-09-03,2
instagram,2020-09-04,1
instagram,2020-09-06,2
instagram,2020-09-07,2
instagram,2020-09-08,1
instagram,2020-09-09,4
instagram,2020-09-10,1
instagram,2020-09-11,2
instagram,2020-09-13,1
instagram,2020-09-15,2
instagram,2020-09-16,1
instagram,2020-09-17,1
instagram,2020-09-18,1
instagram,2020-09-20,1
instagram,2020-09-21,1
instagram,2020-09-22,1
instagram,2020-09-23,1
instagram,2020-09-24,1
instagram,2020-09-26,1
instagram,2020-09-27,3
instagram,2020-09-28,2
instagram,2020-09-29,2
instagram,2020-10-01,1
instagram,2020-10-05,2
instagram,2020-10-07,1
instagram,2020-10-10,2
instagram,2020-10-11,1
instagram,2020-10-12,1
instagram,2020-10-13,1
instagram,2020-10-14,1
instagram,2020-10-15,1
instagram,2020-10-17,1
instagram,2020-10-18,1
instagram,2020-10-21,3
instagram,2020-10-22,1
instagram,2020-10-23,3
instagram,2020-10-24,1
instagram,2020-10-25,1
instagram,2020-10-26,1
instagram,2020-10-28,1
instagram,2020-10-29,1
instagram,2020-10-31,1
instagram,2020-11-01,1
instagram,2020-11-06,2
instagram,2020-11-07,2
instagram,2020-11-08,4
instagram,2020-11-11,2
instagram,2020-11-12,1
instagram,2020-11-13,1
instagram,2020-11-14,1
